ID	author	year	journal	title	abstract
dce_34	Hargittai, E.	2005	Social Science Computer Review	Survey measures of web-oriented digital literacy	This article presents survey measures of web-oriented digital literacy to serve as proxies for observed skill measures, which are much more expensive and difficult to collect for large samples. Findings are based on a study that examined users' digital literacy through both observations and survey questions, making it possible to check the validity of survey proxy measures. These analyses yield a set of recommendations for what measures work well as survey proxies of people's observed web-use skills. Some of these survey measures were administered on the General Social Survey 2000 and 2002 Internet modules, making the findings relevant for the use of existing large-scale national data sets. Results suggest that some composite variables of survey knowledge items are better predictors of people's actual digital literacy based on performance tests than are measures of users' self-perceived abilities, a proxy traditionally used in the literature on the topic. (c) 2005 Sage Publications.
dce_35	Nilsson, L.-E. and Palsson, S.	1998	Human IT	Digital competence: A challenge for today's schools and a requirement in tommorrow's society [Digital kompetens: En utmaning for dagens skola och ett krav i morgondagens samhalle]	The school is in all its aspects - organization, goals, education and the kind of literacy it provides - a product of the evolution of society. In order to fill its societal functions, it must provide the students with the basic knowledge and skills that they will need in everyday life, at work and as citizens. Thus, when society is in transition from industrialism to post-industrialism, from standardized massproduction to customer-oriented production, from taylorism to learning organizations and from basic literacy to lifelong learning, the school must adapt accordingly. In the coming decades, we will probably experience revolutionary changes on a global scale when the world discover ICT, the Internet and its immense possibilities. Governments and intergovernmental organizations are currently working intensively on plans of action that aim towards a swift and rapid transition. That brings important issues on the agenda: Who is to decide the necessary changes? Will the changes be beneficiary for the society as a whole? Most politicians belong to a generation with limited knowledge of the possibilities that the digital technologies can offer. That is also valid for those who educate the next generation. In other words, there is a risk that the changes of society might be more complicated than expected. In the world of commerce, the process of adaptation started in the 1980's. Taylorism and behaviorism is abandoned and metacognition, the learning process, the production of knowledge and the learning of organizations have been put into focus. A lifelong learning at work and a learning leadership is considered essential. The Internet and ICT is also being integrated into this process. At school, there has been more moderate changes of goals and methods. Basic knowledge of reading, writing and arithmetic is still considered as sufficient literacy, and training of predefined facts and non-reflected skills is the main method. When ICT is being used at school, it is generally used in a way that strengthens the usual goals and methods. There is undoubtedly a need for a new concept of literacy that gives a meaning and a structure of relevance to the usage of ICT and the changes of society. This new concept of literacy - digital literacy - is centered around learning and the social, communicative and reflective process of learning. It recognizes many different ways to knowledge, not only reading and writing, and does also include non-cognitive factors such as affective and social skills. If the school is to fill its function in society, it must change its way of working. This is of utmost importance for a fair and positive evolution of the post-industrial society.
dce_107	Pettersson, Fanny	2018	Education and Information Technologies	On the Issues of Digital Competence in Educational Contexts--A Review of Literature	In this review focus is on how digital competence in educational contexts has been addressed in international research over the last 10 years in terms of policy, organizational infrastructures, strategic leadership as well as teachers and their teaching practices. The analysis shows that although research on digital competence in educational contexts has increased, knowledge on digital competence related to organizational infrastructures and strategic leadership are sparse. The analysis indicated that most research focuses on the specific competence needed by teachers and therefore tends to neglect the influence of broader contextual conditions in the wider school setting. Based on the review, three suggestions for further research can be provided. Firstly, to address research on organizational infrastructures and digital competent leadership. Secondly, to elaborate on theoretical frameworks that can close the gap between research on policy, organizational infrastructures, strategic leadership as well as teachers and their teaching practices. A third suggestion is for researchers to become involved in the development of new approaches that can enhance digital competence in educational contexts. It can be concluded that digital competence might not benefit from being regarded as an isolated phenomena on the level of single actors. Rather, it can be regarded as an organizational task, influenced and driven by several contextual factors embedded within and across a wider school organization.
dce_108	Ilomaki, Liisa and Paavola, Sami and Lakkala, Minna and Kantosalo, Anna	2016	Education and Information Technologies	Digital Competence--An Emergent Boundary Concept for Policy and Educational Research	Digital competence is an evolving concept related to the development of digital technology and the political aims and expectations of citizenship in a knowledge society. It is regarded as a core competence in policy papers; in educational research it is not yet a standardized concept. We suggest that it is a useful boundary concept, which can be used in various contexts. For this study, we analysed 76 educational research articles in which digital competence, described by different terms, was investigated. As a result, we found that digital competence consists of a variety of skills and competences, and its scope is wide, as is its background: from media studies and computer science to library and literacy studies. In the article review, we found a total of 34 terms that had used to describe the digital technology related skills and competences; the most often used terms were digital literacy, new literacies, multiliteracy and media literacy, each with somewhat different focus. We suggest that digital competence is defined as consisting of (1) technical competence, (2) the ability to use digital technologies in a meaningful way for working, studying and in everyday life, (3) the ability to evaluate digital technologies critically, and (4) motivation to participate and commit in the digital culture.
dce_109	Palacios Hidalgo, Francisco Javier and Gomez Parra, M.a Elena and Huertas Abril, Cristina A.	2020	Teaching English with Technology	Digital and Media Competences: Key Competences for EFL Teachers	The usefulness of ICT in language learning is unquestionable nowadays. There are many digital educational resources available for foreign and second language teachers, materials which are progressively acquiring an important role in the teaching-learning process. In order to respond to the increasing presence of such technologies in the classroom, teachers need to acquire digital and media competences, two key elements for lifelong training process. However, these are superficially addressed in teacher education. In this light, both in-training and in-service educators demand more skills and specific training to be able to teach students how to use technologies and, ultimately, help them develop their own digital and media competences. Following an exhaustive bibliographical revision of scientific literature in the field, this theoretical paper seeks to revise the concepts of digital and media competences as well as to reflect on how superficially they are addressed at universities and teacher-training centres. After this, the importance of both competences as key elements for teachers is brought to light, as well as some useful suggestions to help foreign and second language teachers acquire and develop them and, simultaneously, teach them to their students.
dce_110	Brown, Susan A.	2014	International Journal of Sustainability in Higher Education	Conceptualizing Digital Literacies and Digital Ethics for Sustainability Education	Purpose: The purpose of this paper is to discuss the need for integrating a focus on digital literacies and digital ethics into sustainability education, proposing a conceptualization of these for sustainability education. Design/methodology/approach: The paper draws on relevant literature in the field of sustainability education and in the field of digital literacies and digital ethics. It synthesizes perspectives in both fields to form a conceptualization of digital literacies and digital ethics for sustainability education. Findings: The paper conceptualizes "digital literacies" as a capacity to reflect on the nature of digital space in relation to sustainability challenges and "digital ethics" as a capacity to reflexively engage with digital space in ways which build rich discourses around sustainability. Critically reflective and exploratory activities in digital space are a means of developing these capacities. Originality/value: The conceptualization allows sustainability education to account for the increased role digital space plays in shaping views of sustainability challenges. It proposes a pedagogical approach to doing this.
dce_111	Hall, Marion and Nix, Ingrid and Baker, Kirsty	2013	Electronic Journal of e-Learning	Student Experiences and Perceptions of Digital Literacy Skills Development: Engaging Learners by Design?	In the current digital environment, it is vital for learners to develop digital literacy skills. The UK's Quality Assurance Agency for Higher Education (HE) requires graduates to demonstrate digital literacy. Employers consider these skills essential. With the high cost of HE in the UK, learners themselves also expect university courses to demonstrate relevance to the workplace. Nevertheless, some learners may not fully engage in digital literacy skills development, instead concentrating on the subject-specific content of their modules. The Faculty of Health & Social Care (FH&SC) at the UK's Open University uses different approaches to digital literacy skills development, based on skills resources that are either "generic" (usable by any FH&SC module) or module-specific. By exploring student experiences of digital literacy skills development, we aim to understand what motivates learners to engage with the skills content of their module. We collected data from online questionnaires and interviews involving learners from three modules and present findings from an analysis of the quantitative questionnaire data, supported by qualitative interview data, where relevant. We look at learner perceptions and engagement in relation to the demographic factors gender, age, previous education, disability and financial status and whether these factors influence individual learner preferences for learning design, such as use of generic resources versus contextualisation of skills activities within the module. We aim to identify good practice in learning design and what demographic factors need to be considered to support individual learners appropriately, and so optimise engagement.
dce_112	Littlejohn, A. and Beetham, H. and McGill, L.	2012	Journal of Computer Assisted Learning	Learning at the Digital Frontier: A Review of Digital Literacies in Theory and Practice	This paper describes a literature review, institutional audit and analysis of practice in the area of digital literacy provision, based on research across the UK Higher Education sector. It concludes that institutions need to place greater value on "literacies of the digital", and better prepare their students and their own organizational processes to thrive in an age of digital knowledge practices. It extends the debate about individual entitlement and provision to ask whether digital literacy offers an opportunity for the academy to redefine its relationship to knowledge in society.
dce_113	Blummer, Barbara	2008	Education Libraries	Digital Literacy Practices among Youth Populations: A Review of the Literature	Digital literacy includes a range of abilities from basic computing skills to the creation of multimodal texts. This literature review examines eleven articles that track the digital literacy practices of youth populations or individuals between the ages of 12 and 17. It describes the practices of these individuals through three perspectives, including: studies centered on general youth populations, research discussing innovative programs targeting students from low income families, and articles tracking digital literacy competencies among young immigrant learners. Foremost, the articles highlight young people's efforts to express themselves through their own online literacy. To this end it remains essential that educators correlate students' digital literacy habits in their personal lives to instructional practices in school.
dce_114	Beach, Richard	2012	Research in the Schools	Uses of Digital Tools and Literacies in the English Language Arts Classroom	This article reviews research on English language arts teachers' use of digital tools in the classroom to remediate print literacies. Specifically, this review focuses on the affordances of digital tools to foster uses of digital literacies of informational/accessibility, collaboration knowledge construction, multimodal communication, gaming literacy, and reflection on learning. Researchers have found relatively high levels of students' engagement through their uses of digital tools for the social purposes of accessing, sharing, communicating, and reflecting on knowledge as part of a shared learning commons. Students are also engaged in multimodal representations of knowledge for immediate and worldwide audiences, as well as participation in collaborative gaming activities for both acquiring knowledge and learning collaboration practices. Researchers have also found that teachers and students employ uses of digital feedback tools and e-portfolios for effectively fostering student reflection. The findings from the research reviewed suggest the need for teachers to identify the affordances of digital tools in ways that remediate and transform largely print-based learning in English language arts classrooms through uses of digital tools.
dce_115	Bawden, David	2001	Journal of Documentation	Information and Digital Literacies: A Review of Concepts.	Examines the concepts of information literacy and digital literacy through a literature survey and analysis. Highlights include skills-based literacy, including library literacy, media literacy, and computer literacy; bibliographic instruction; business information; the information society; network literacy; Internet literacy; hyper-literacy; and multimedia literacy. (Contains 149 references.) (Author/LRW)
